用例ID,需求,用例标题,优先级,模块,类型,描述,步骤,预期结果,关联风险机制,测试数据,状态,阻断原因
TC-FISHING-011,钓鱼状态机,BITE_BUDGET超时收竿,P2,fishing,gametest,600 tick 无咬钩时 FishBehavior 超时收竿并重置,前置: 已抛竿且 armed，无鱼 | 执行: 等待 600+ tick | 观察: bot 是否收竿,600 tick 后 bot 收竿，状态重置,钓鱼 CAST_GRACE_TICKS 过短导致浮漂未落地就 armed,"fixture: fishing_rod, water pool no fish",not_executed,
TC-FISHING-012,咬钩检测与浮漂感知,hookedEntity时立即收竿重置,P2,fishing,gametest,浮漂钩到实体/物品（hookedEntity=true）时立即收竿，不等待咬钩,前置: 已抛竿 | 执行: 让浮漂钩到物品实体 | 观察: bot 是否立即收竿,hookedEntity=true 时立即收竿并重置 watch,钓鱼咬钩检测 DIP_THRESHOLD 误判,"fixture: fishing_rod, item entity in water",not_executed,
TC-COMBAT-013,盾举盾与收盾,盾在body上raise而非facade,P0,combat,gametest,bot 手持盾 USE，验证 body.isUsingItem()=true 且 activeItem 是盾,前置: bot 手持盾 | 执行: USE rising edge | 观察: body.isUsingItem() 和 body.getUseItem(),body.isUsingItem()=true，activeItem 是 ShieldItem；facade.isUsingItem()=false,盾在 facade 上 raise 导致完全无效,"fixture: shield in hotbar, flat platform",not_executed,盾在 body 上 raise 是格挡生效的前提，在 facade 上则完全无效
TC-COMBAT-014,盾伤害减免判定,举盾5tick后正面受击伤害减免,P0,combat,gametest,bot 举盾 5 tick 后正面受击，验证伤害被减免（盾挡）,前置: bot 手持盾，满血 | 执行: 举盾 5 tick 后让僵尸正面攻击 | 观察: bot 受到的伤害值,伤害被减免（全挡或部分挡，取决于盾牌），播放盾挡音效,盾在 facade 上 raise 导致完全无效; 盾 useDuration 不足 5 tick 时不格挡,"fixture: shield, zombie at melee range, bot full health",not_executed,盾伤害减免是生存核心机制，失效则盾完全无意义
TC-COMBAT-015,盾伤害减免判定,举盾0-4tick内受击不减免,P2,combat,gametest,bot 刚举盾（0-4 tick）时受击，验证 isDamageSourceBlocked 返回 false,前置: bot 手持盾，满血 | 执行: 举盾 2 tick 后立即受击 | 观察: 伤害值,伤害全额（不减免），因为 useDuration < 5,盾 useDuration 不足 5 tick 时不格挡,"fixture: shield, zombie, bot full health",not_executed,
TC-COMBAT-016,盾伤害减免判定,背后受击不减免,P1,combat,gametest,bot 举盾但从背后受击，验证伤害不减免,前置: bot 举盾中 | 执行: 从背后 180° 外攻击 bot | 观察: 伤害值,伤害全额（背后不在盾格挡扇形内）,盾在 facade 上 raise 导致完全无效,"fixture: shield, attacker behind bot",not_executed,
TC-COMBAT-017,盾举盾与收盾,收盾后body退出use状态,P1,combat,gametest,盾 USE falling edge 后 body.isUsingItem()=false,前置: bot 举盾中 | 执行: USE falling edge | 观察: body.isUsingItem(),收盾后 body.isUsingItem()=false,盾在 facade 上 raise 导致完全无效,fixture: shield,not_executed,
TC-SLEEP-018,睡眠机制,睡眠机制存在性确认,P2,sleep,code_audit,确认 BotBodyEntity 是否有主动睡眠/起床机制，或仅继承 PathfinderMob base class,前置: 读取 BotBodyEntity.java 全文 | 执行: 搜索 sleep/isSleeping/startSleeping/stopSleeping 相关代码 | 观察: 是否有 override 或主动调用,确认睡眠机制的存在性和触发条件；若不存在则标记为 deferred,睡眠机制未确认是否存在主动触发,fixture: BotBodyEntity.java source code audit,not_executed,
TC-DIG-019,工具自动选择,挖石头自动切换到镐,P1,dig,gametest,bot 挖掘石头时 ToolSelector 自动切换到镐（非剑/空手）,前置: hotbar 有镐+剑+空手，目标方块为石头 | 执行: 提交 Dig intent | 观察: selectedSlot 是否切换到镐，DigExecutor 是否使用镐,selectedSlot 切换到镐的 slot，挖掘使用镐，掉落圆石,工具选择只看 destroySpeed 不看 match_tool,"fixture: pickaxe at hotbar[1], sword at hotbar[2], stone target",not_executed,
TC-DIG-020,工具自动选择,挖树叶自动切换到剪刀,P1,dig,gametest,bot 挖掘树叶时 ToolSelector 切换到剪刀（match_tool shears）,前置: hotbar 有剪刀+镐，目标为树叶 | 执行: Dig intent | 观察: selectedSlot 和掉落物,切换到剪刀，掉落树叶物品（非木棍/苹果概率）,工具选择只看 destroySpeed 不看 match_tool,"fixture: shears at hotbar[1], leaves target",not_executed,
TC-RESCUE-021,救援任务,救援任务机制面确认,P2,rescue,code_audit,确认 RescueMissionFactory 的实际机制面、触发条件、执行流程,前置: 读取 RescueMissionFactory.java 全文 | 执行: 搜索调用方（reflex/process）、生成逻辑、执行流程 | 观察: 机制面完整性,确认救援任务是否为完整实现、stub 或半成品；标记可测试的机制面,救援任务机制面未确认,fixture: RescueMissionFactory.java source code audit,not_executed,
TC-HYGIENE-022,无回归,新增场景后GametestInventoryCheck通过,P0,hygiene,unit,新增 gametest 场景后更新 EXPECTED 钉表，GametestInventoryCheck 双向比对通过,前置: 新增 N 个 @GameTest 场景 | 执行: 更新 GametestInventoryCheck.EXPECTED，运行 test | 观察: GametestInventoryCheck 结果,测试通过，场景数 67→67+N，无 missing/unexpected,新增 gametest 场景未更新钉表导致 GametestInventoryCheck fail,fixture: new gametest scenarios + updated EXPECTED,not_executed,钉表漂移是 routesThroughFenceGap 事故模式，必须阻断
